Year,January,February,March,April,May,June,July,August,September,October,November,December
2000,40757,168210,340899,182713,294493,606869,1854991,2513602,850027,195645,261681,83606
2001,44334,118872,103341,202015,258014,367544,387894,1358486,380891,33868,99879,215773
2002,10079,55487,135186,177888,736493,1702508,1098578,2385947,276819,128571,410256,66900
2003,18818,30877,44285,225841,86116,361081,970327,919302,510642,170015,478648,144890
2004,15386,39787,95457,219470,161170,1142287,3439347,2022996,601572,304809,21660,33939
2005,9735,18414,102648,136097,107511,1331249,2612903,3078418,763713,95393,177519,255789
2006,330447,80564,1438355,391421,315375,1196351,1412483,2434567,1474795,326551,107342,365494
2007,4597,30754,226060,214020,859241,502835,2785585,2285357,1317554,469496,205386,427160
2008,40804,214183,261256,758290,226503,672117,1303710,1185528,71959,299720,97019,161379
2009,57150,120447,363647,518535,350997,493268,1353884,1980255,378523,91444,127651,85985
2010,19052,15491,106074,182831,350774,812459,491856,627443,366260,210259,122728,117497
2011,17352,187021,385043,1791469,1069997,1345060,1295630,864470,765417,507724,270518,211666
2012,62909,29737,89771,191062,337182,1363293,2014395,3636606,1077766,200860,152697,65361
2013,8573,12432,72120,48419,106243,1252719,866765,1481109,215263,19514,86092,137927
2014,38078,31686,97922,152713,400822,172860,819242,1039766,306663,202883,191688,133238
2015,22592,68989,59677,167691,78187,1868614,3461087,2475720,881230,323784,404910,312668
2016,3131,123490,649511,687131,134720,526926,1353260,1116726,285893,126963,275616,163153
2017,54961,167766,957427,817985,234986,600373,2657380,1648583,1325423,366641,354376,595161
2018,71189,67289,392010,446198,707411,812501,2313597,2129088,841953,466374,236457,98542
2019,13095,27604,130508,40716,120868,1331968,1570697,1001587,195898,134013,49700,13353
2020,16791,26428,68802,108802,164889,1035963,630571,1928563,3544031,1020326,994388,735125
2021,27358,32706,264495,132579,223298,792074,1510450,1904506,1019822,616701,278740,336984
2022,25691,124083,368065,602491,799903,2002408,1790284,424307,748032,326208,132467,190464
2023,12882,50765,59823,268817,117771,163766,466033,867538,434693,97539,65712,28297
