Year,January,February,March,April,May,June,July,August,September,October,November,December
1950,7,20,21,15,61,28,23,13,3,2,4,4
1951,2,10,6,26,57,76,23,27,9,2,12,10
1952,12,27,43,37,34,34,27,16,1,0,6,3
1953,14,16,40,47,94,111,32,24,5,6,12,21
1954,2,17,62,113,101,107,45,49,21,14,2,17
1955,3,4,41,99,148,153,49,33,15,23,20,3
1956,2,47,31,85,79,65,92,42,16,29,7,9
1957,16,5,38,216,228,147,55,20,17,18,59,38
1958,11,20,15,76,68,128,121,46,24,9,45,1
1959,16,20,43,30,226,73,62,38,58,24,10,2
1960,9,28,28,70,201,125,42,48,21,18,25,1
1961,1,31,124,75,137,107,77,27,53,14,36,16
1962,12,25,37,41,200,170,78,51,24,11,5,2
1963,15,5,47,85,71,90,62,26,33,13,15,0
1964,14,2,36,158,135,137,63,79,25,22,17,18
1965,21,33,34,126,274,147,85,61,62,16,34,7
1966,1,28,12,80,98,126,100,58,22,29,20,11
1967,40,8,42,149,116,210,90,28,139,36,8,61
1968,5,7,28,103,145,136,56,66,25,14,44,32
1969,3,5,8,69,144,137,98,70,20,25,5,23
1970,9,16,25,117,88,134,81,55,55,50,10,14
1971,17,85,40,75,168,198,100,50,47,38,16,54
1972,33,7,69,96,140,113,115,59,49,34,17,8
1973,33,10,81,150,250,224,80,51,70,25,81,49
1974,23,23,38,273,144,194,59,106,25,45,13,8
1975,52,45,84,108,188,196,79,60,34,12,38,22
1976,12,37,182,113,155,169,84,38,35,11,0,1
1977,5,17,64,88,228,132,100,82,66,25,24,23
1978,23,7,17,107,213,148,143,65,20,7,8,31
1979,16,4,53,127,112,150,132,126,69,47,21,2
1980,5,11,40,137,204,217,95,73,37,43,3,1
1981,2,25,33,84,187,223,98,64,26,32,7,1
1982,18,1,60,151,331,196,95,34,38,9,19,97
1983,13,41,71,65,249,178,99,76,18,13,49,58
1984,1,27,75,176,171,243,72,47,17,49,30,4
1985,2,7,38,135,185,82,51,108,39,18,19,3
1986,0,30,76,84,172,134,89,67,65,26,17,5
1987,6,19,38,20,126,132,163,63,19,1,56,15
1988,17,4,26,58,132,63,103,61,76,19,121,20
1989,15,17,44,82,232,252,59,36,31,30,58,3
1990,11,57,88,108,243,334,106,60,45,35,18,35
1991,29,11,158,204,335,216,64,46,26,21,20,3
1992,15,29,55,53,137,400,213,115,82,34,149,20
1993,17,34,48,85,178,313,242,112,65,55,19,6
1994,13,9,58,206,161,236,155,120,30,51,42,4
1995,36,7,49,130,392,216,163,53,19,74,79,18
1996,35,14,71,177,235,128,201,72,101,68,55,15
1997,50,23,102,114,225,193,188,84,32,101,25,12
1998,47,72,72,182,311,379,82,61,104,86,26,6
1999,214,22,56,179,311,289,99,79,54,17,7,15
2000,16,55,103,136,241,136,148,51,47,64,50,26
2001,5,28,32,135,240,248,120,69,84,118,111,22
2002,3,2,46,116,204,97,68,86,61,57,96,98
2003,0,18,43,158,550,292,167,44,32,26,54,1
2004,2,7,50,125,510,266,124,179,296,78,150,26
2005,32,10,62,132,123,316,137,123,133,18,151,25
2006,47,12,148,246,139,119,71,80,84,76,42,42
2007,21,52,173,167,253,128,69,73,52,86,7,19
2008,84,147,129,189,462,292,95,101,111,21,15,46
2009,6,36,115,226,201,270,118,60,8,65,3,38
2010,30,1,33,139,304,324,146,55,57,108,53,32
2011,16,63,75,758,326,160,103,57,51,23,44,15
2012,79,57,154,206,121,111,37,38,38,37,7,53
2013,75,39,18,86,267,124,72,45,21,61,80,18
2014,4,42,20,129,130,286,85,33,41,73,23,20
2015,28,3,11,171,381,184,115,45,17,40,99,83
2016,17,103,85,142,217,86,108,90,39,20,50,19
2017,137,69,192,214,291,146,81,119,51,75,42,12
2018,15,48,55,130,170,155,92,81,108,123,83,66
2019,22,27,107,272,510,177,101,78,85,65,16,57
2020,87,42,83,264,126,91,99,182,38,19,24,27
2021,16,11,138,78,259,105,126,153,28,147,21,232
2022,37,11,234,219,239,123,64,35,25,36,62,58
2023,130,56,208,149,168,253,114,145,27,32,18,21
