Year,January,February,March,April,May,June,July,August,September,October,November,December
2000,2796,5671,10312,9236,11850,9135,11293,11217,8648,7651,3285,1156
2001,1231,6561,6620,995,18469,6961,8254,7579,6397,6223,10223,4566
2002,1383,4649,8686,7365,8734,13942,7348,9983,5175,2009,2068,2115
2003,1964,2030,3401,7066,7081,5744,7129,10145,4620,6353,2104,5992
2004,1740,2847,9071,10735,7675,6554,6628,9575,6109,1918,1368,1241
2005,1674,2518,5061,9010,6795,4684,7464,8276,7693,3414,4089,6075
2006,3507,2429,15006,13747,7156,15403,12408,9292,4804,2639,3401,6593
2007,387,3791,12086,7808,12642,9654,10268,7741,8567,3787,2398,6576
2008,1380,4449,5259,8242,7790,9536,17352,10213,3728,5403,2437,3190
2009,2481,5495,13755,9206,10848,6614,6257,10026,5535,2989,3838,1748
2010,1081,1221,6233,11686,5563,4027,7015,6718,13598,4594,4277,5958
2011,1526,8226,7316,6164,6625,6567,9208,8238,6552,3399,2808,7497
2012,1758,3239,5354,7506,4435,5415,9869,6948,3734,3553,3694,11760
2013,964,1340,4615,4754,6331,4046,6149,7088,3572,3323,2376,2057
2014,2584,2983,6024,7783,2458,4463,8072,4280,2558,1946,8108,12086
2015,1500,4251,3118,6707,6072,6430,8186,7555,6153,3826,2097,6027
2016,439,2455,6324,6267,4942,5230,8195,6507,4762,6555,8560,5339
2017,2459,5353,6717,5953,4182,5336,9000,7493,3033,3408,3252,9945
2018,3257,3200,6297,4938,6197,5112,8717,7861,3720,1791,1421,3400
2019,1139,1018,4934,3534,5338,5657,5571,8765,6627,2314,2320,2569
2020,1136,1375,3374,5999,6233,5939,7576,8197,4332,3033,5740,5324
2021,1600,1386,7532,7075,7242,5791,7024,5239,3202,2275,5984,4383
2022,1302,5785,7694,7543,5722,5880,5300,8985,5394,5942,4580,2128
2023,1688,2590,3498,5196,5043,5697,6507,9080,4896,5820,3670,1886
